Organ,RMSE,R_Square
adipose_subcutaneous,27.07607016973272,-3.4873176772445076
artery_aorta_age,37.872224187557066,-8.056853612553986
artery_coronary,40.35937918900663,-11.587975078933257
brain_cerebellum,68.40540437593535,-42.8475552126806
brain_cortex,80.38620717683206,-61.4859852208892
colon_sigmoid,56.28594600568531,-16.417379891798927
heart_atrial_appendage,44.19307636567398,-16.649037023808287
liver,11.718073988821859,-0.20396623825404148
lung,60.877048978236665,-24.79888146014123
nerve_tibial,12.58612364574886,0.08125523604170215
pancreas,17.787616578101204,-0.963276038606421
skin,63.06643445329357,-22.214929056751846
